fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,free sulfur dioxide (norm),total sulfur dioxide,total sulfur dioxide (norm),pH,sulphates,alcohol,quality
12.50,0.37,0.55,2.60,0.08,25.00,1.05,68.00,0.81,3.15,0.82,10.40,6.00
7.80,0.88,0.00,2.60,0.10,25.00,1.05,67.00,0.79,3.20,0.68,9.80,5.00
7.60,0.29,0.49,2.70,0.09,25.00,1.05,60.00,0.64,3.31,0.61,10.10,6.00
8.20,0.64,0.10,2.10,0.07,25.00,1.05,60.00,0.64,3.29,0.75,10.90,6.00
8.20,0.64,0.10,2.10,0.07,25.00,1.05,60.00,0.64,3.29,0.75,10.90,6.00
8.80,0.24,0.54,2.50,0.08,25.00,1.05,57.00,0.57,3.39,0.54,9.20,5.00
8.90,0.29,0.35,1.90,0.07,25.00,1.05,57.00,0.57,3.18,1.36,10.30,6.00
9.60,0.54,0.42,2.40,0.08,25.00,1.05,52.00,0.46,3.20,0.71,11.40,6.00
9.00,0.39,0.40,1.30,0.04,25.00,1.05,50.00,0.42,3.20,0.83,10.90,6.00
12.00,0.45,0.55,2.00,0.07,25.00,1.05,49.00,0.39,3.10,0.76,10.30,6.00
9.40,0.59,0.14,2.00,0.08,25.00,1.05,48.00,0.37,3.14,0.56,9.70,5.00
7.70,0.62,0.04,3.80,0.08,25.00,1.05,45.00,0.31,3.34,0.53,9.50,5.00
5.90,0.46,0.00,1.90,0.08,25.00,1.05,44.00,0.28,3.50,0.53,11.20,5.00
8.70,0.41,0.41,6.20,0.08,25.00,1.05,42.00,0.24,3.24,0.77,12.60,7.00
7.00,0.56,0.13,1.60,0.08,25.00,1.05,42.00,0.24,3.34,0.59,9.20,5.00
6.40,0.57,0.12,2.30,0.12,25.00,1.05,36.00,0.11,3.47,0.71,11.30,7.00
6.70,0.42,0.27,8.60,0.07,24.00,0.95,148.00,2.58,3.16,0.57,11.30,6.00
7.80,0.53,0.33,2.40,0.08,24.00,0.95,144.00,2.49,3.30,0.60,9.50,5.00
9.00,0.47,0.31,2.70,0.08,24.00,0.95,125.00,2.07,3.31,0.61,9.40,5.00
8.80,0.52,0.34,2.70,0.09,24.00,0.95,122.00,2.01,3.26,0.61,9.50,5.00
7.80,0.59,0.33,2.00,0.07,24.00,0.95,120.00,1.96,3.25,0.54,9.40,5.00
7.10,0.59,0.02,2.30,0.08,24.00,0.95,94.00,1.39,3.55,0.53,9.70,6.00
7.10,0.59,0.02,2.30,0.08,24.00,0.95,94.00,1.39,3.55,0.53,9.70,6.00
7.50,0.61,0.26,1.90,0.07,24.00,0.95,88.00,1.26,3.30,0.53,9.80,5.00
7.50,0.61,0.26,1.90,0.07,24.00,0.95,88.00,1.26,3.30,0.53,9.80,5.00
8.20,0.38,0.32,2.50,0.08,24.00,0.95,71.00,0.88,3.27,0.85,11.00,6.00
10.50,0.43,0.35,3.30,0.09,24.00,0.95,70.00,0.86,3.21,0.69,10.50,6.00
7.00,0.36,0.21,2.40,0.09,24.00,0.95,69.00,0.84,3.40,0.53,10.10,6.00
7.60,0.54,0.13,2.50,0.10,24.00,0.95,66.00,0.77,3.39,0.61,9.40,5.00
8.70,0.46,0.31,2.50,0.13,24.00,0.95,64.00,0.73,3.10,0.74,9.60,5.00
7.30,0.44,0.20,1.60,0.05,24.00,0.95,64.00,0.73,3.38,0.57,11.70,6.00
8.30,0.42,0.38,2.50,0.09,24.00,0.95,60.00,0.64,3.31,0.70,10.80,6.00
7.80,0.34,0.37,2.00,0.08,24.00,0.95,58.00,0.59,3.34,0.59,9.40,6.00
7.50,0.40,0.18,1.60,0.08,24.00,0.95,58.00,0.59,3.34,0.58,9.40,5.00
9.30,0.78,0.27,2.80,0.08,24.00,0.95,56.00,0.55,3.31,0.67,10.60,6.00
9.90,0.72,0.55,1.70,0.14,24.00,0.95,52.00,0.46,3.35,0.94,10.00,5.00
6.70,0.16,0.64,2.10,0.06,24.00,0.95,52.00,0.46,3.34,0.71,11.20,6.00
8.30,0.34,0.40,2.40,0.07,24.00,0.95,48.00,0.37,3.34,0.86,11.00,6.00
6.10,0.53,0.08,1.90,0.08,24.00,0.95,45.00,0.31,3.60,0.68,10.30,6.00
7.20,0.36,0.46,2.10,0.07,24.00,0.95,44.00,0.28,3.40,0.85,11.00,7.00
7.20,0.36,0.46,2.10,0.07,24.00,0.95,44.00,0.28,3.40,0.85,11.00,7.00
7.20,0.36,0.46,2.10,0.07,24.00,0.95,44.00,0.28,3.40,0.85,11.00,7.00
7.20,0.36,0.46,2.10,0.07,24.00,0.95,44.00,0.28,3.40,0.85,11.00,7.00
7.40,0.62,0.05,1.90,0.07,24.00,0.95,42.00,0.24,3.42,0.57,11.50,6.00
7.10,0.60,0.01,2.30,0.08,24.00,0.95,37.00,0.13,3.40,0.61,10.90,6.00
7.10,0.60,0.01,2.30,0.08,24.00,0.95,37.00,0.13,3.40,0.61,10.90,6.00
6.70,0.32,0.44,2.40,0.06,24.00,0.95,34.00,0.06,3.29,0.80,11.60,7.00
8.70,0.84,0.00,1.40,0.07,24.00,0.95,33.00,0.04,3.27,0.55,9.70,5.00
6.20,0.56,0.09,1.70,0.05,24.00,0.95,32.00,0.02,3.54,0.60,11.30,5.00
6.20,0.56,0.09,1.70,0.05,24.00,0.95,32.00,0.02,3.54,0.60,11.30,5.00
6.60,0.39,0.49,1.70,0.07,23.00,0.84,149.00,2.60,3.12,0.50,11.50,6.00
7.70,0.54,0.26,1.90,0.09,23.00,0.84,147.00,2.56,3.26,0.59,9.70,5.00
7.70,0.54,0.26,1.90,0.09,23.00,0.84,147.00,2.56,3.26,0.59,9.70,5.00
9.50,0.57,0.27,2.30,0.08,23.00,0.84,144.00,2.49,3.27,0.55,9.40,5.00
9.40,0.69,0.26,2.40,0.08,23.00,0.84,143.00,2.47,3.28,0.55,9.40,5.00
9.20,0.43,0.49,2.40,0.09,23.00,0.84,116.00,1.88,3.23,0.64,9.50,5.00
8.50,0.66,0.20,2.10,0.10,23.00,0.84,113.00,1.81,3.13,0.48,9.20,5.00
8.90,0.61,0.49,2.00,0.27,23.00,0.84,110.00,1.74,3.12,1.02,9.30,5.00
10.70,0.90,0.34,6.60,0.11,23.00,0.84,99.00,1.50,3.22,0.68,9.30,5.00
7.90,0.58,0.23,2.30,0.08,23.00,0.84,94.00,1.39,3.21,0.58,9.50,6.00
7.90,0.58,0.23,2.30,0.08,23.00,0.84,94.00,1.39,3.21,0.58,9.50,6.00
5.60,0.31,0.78,13.90,0.07,23.00,0.84,92.00,1.34,3.39,0.48,10.50,6.00
8.70,0.69,0.31,3.00,0.09,23.00,0.84,81.00,1.10,3.48,0.74,11.60,6.00
8.70,0.69,0.31,3.00,0.09,23.00,0.84,81.00,1.10,3.48,0.74,11.60,6.00
9.10,0.45,0.35,2.40,0.08,23.00,0.84,78.00,1.04,3.38,0.62,9.50,5.00
13.50,0.53,0.79,4.80,0.12,23.00,0.84,77.00,1.01,3.18,0.77,13.00,5.00
5.20,0.49,0.26,2.30,0.09,23.00,0.84,74.00,0.95,3.71,0.62,12.20,6.00
7.60,0.39,0.31,2.30,0.08,23.00,0.84,71.00,0.88,3.52,0.65,9.70,5.00
7.70,0.23,0.37,1.80,0.05,23.00,0.84,60.00,0.64,3.41,0.71,12.10,6.00
6.10,0.32,0.25,2.30,0.07,23.00,0.84,58.00,0.59,3.42,0.97,10.60,5.00
6.10,0.32,0.25,2.30,0.07,23.00,0.84,58.00,0.59,3.42,0.97,10.60,5.00
5.40,0.42,0.27,2.00,0.09,23.00,0.84,55.00,0.53,3.78,0.64,12.30,7.00
7.70,0.51,0.28,2.10,0.09,23.00,0.84,54.00,0.51,3.42,0.74,9.20,5.00
7.80,0.46,0.26,1.90,0.09,23.00,0.84,53.00,0.48,3.43,0.74,9.20,6.00
7.90,0.37,0.23,1.80,0.08,23.00,0.84,49.00,0.39,3.28,0.67,9.30,5.00
7.80,0.54,0.26,2.00,0.09,23.00,0.84,48.00,0.37,3.41,0.74,9.20,6.00
6.50,0.88,0.03,5.60,0.08,23.00,0.84,47.00,0.35,3.58,0.50,11.20,4.00
7.60,0.35,0.60,2.60,0.07,23.00,0.84,44.00,0.28,3.38,0.79,11.10,6.00
13.30,0.29,0.75,2.80,0.08,23.00,0.84,43.00,0.26,3.04,0.68,11.40,7.00
12.00,0.50,0.59,1.40,0.07,23.00,0.84,42.00,0.24,2.92,0.68,10.50,7.00
7.20,0.38,0.38,2.80,0.07,23.00,0.84,42.00,0.24,3.34,0.72,12.90,7.00
8.40,0.34,0.42,2.10,0.07,23.00,0.84,36.00,0.11,3.11,0.78,12.40,6.00
7.70,0.94,0.43,2.20,0.11,22.00,0.73,114.00,1.83,3.25,0.73,9.20,5.00
9.70,0.69,0.32,2.50,0.09,22.00,0.73,91.00,1.32,3.29,0.62,10.10,5.00
9.70,0.69,0.32,2.50,0.09,22.00,0.73,91.00,1.32,3.29,0.62,10.10,5.00
7.00,0.69,0.08,1.80,0.10,22.00,0.73,89.00,1.28,3.34,0.54,9.20,6.00
7.50,0.38,0.48,2.60,0.07,22.00,0.73,84.00,1.17,3.32,0.70,9.60,4.00
15.90,0.36,0.65,7.50,0.10,22.00,0.73,71.00,0.88,2.98,0.84,14.90,5.00
7.80,0.43,0.70,1.90,0.46,22.00,0.73,67.00,0.79,3.13,1.28,9.40,5.00
10.40,0.41,0.55,3.20,0.08,22.00,0.73,54.00,0.51,3.15,0.89,9.90,6.00
10.40,0.41,0.55,3.20,0.08,22.00,0.73,54.00,0.51,3.15,0.89,9.90,6.00
6.70,0.41,0.43,2.80,0.08,22.00,0.73,54.00,0.51,3.42,1.16,10.60,6.00
6.60,0.44,0.15,2.10,0.08,22.00,0.73,53.00,0.48,3.32,0.62,9.30,5.00
8.00,0.25,0.43,1.70,0.07,22.00,0.73,50.00,0.42,3.38,0.60,11.90,6.00
7.20,0.39,0.44,2.60,0.07,22.00,0.73,48.00,0.37,3.30,0.84,11.50,6.00
7.80,0.91,0.07,1.90,0.06,22.00,0.73,47.00,0.35,3.51,0.43,10.70,6.00
6.00,0.42,0.19,2.00,0.08,22.00,0.73,47.00,0.35,3.39,0.78,10.00,6.00
10.10,0.31,0.44,2.30,0.08,22.00,0.73,46.00,0.33,3.32,0.67,9.70,6.00
11.60,0.41,0.54,1.50,0.10,22.00,0.73,41.00,0.22,3.02,0.76,9.90,7.00
11.60,0.41,0.54,1.50,0.10,22.00,0.73,41.00,0.22,3.02,0.76,9.90,7.00
6.80,0.67,0.00,1.90,0.08,22.00,0.73,39.00,0.17,3.40,0.74,9.70,5.00
6.90,0.69,0.00,2.50,0.11,22.00,0.73,37.00,0.13,3.46,0.57,10.60,6.00
6.90,0.41,0.33,2.20,0.08,22.00,0.73,36.00,0.11,3.41,0.75,11.10,6.00
7.50,0.71,0.00,1.60,0.09,22.00,0.73,31.00,0.00,3.38,0.58,10.00,6.00
8.20,0.50,0.35,2.90,0.08,21.00,0.62,127.00,2.12,3.23,0.62,9.40,5.00
9.00,0.48,0.32,2.80,0.08,21.00,0.62,122.00,2.01,3.32,0.62,9.40,5.00
8.60,0.63,0.17,2.90,0.10,21.00,0.62,119.00,1.94,3.09,0.52,9.30,5.00
8.00,0.58,0.28,3.20,0.07,21.00,0.62,114.00,1.83,3.22,0.54,9.40,6.00
7.80,0.50,0.17,1.60,0.08,21.00,0.62,102.00,1.57,3.39,0.48,9.50,5.00
11.10,0.39,0.54,2.70,0.10,21.00,0.62,101.00,1.54,3.13,0.51,9.50,5.00
5.80,0.68,0.02,1.80,0.09,21.00,0.62,94.00,1.39,3.54,0.52,10.00,5.00
7.10,0.52,0.03,2.60,0.08,21.00,0.62,92.00,1.34,3.50,0.60,9.80,5.00
10.60,1.03,0.43,2.80,0.08,21.00,0.62,84.00,1.17,3.06,0.57,10.10,5.00
9.90,0.74,0.28,2.60,0.08,21.00,0.62,77.00,1.01,3.28,0.51,9.80,5.00
9.00,0.45,0.49,2.60,0.08,21.00,0.62,75.00,0.97,3.35,0.57,9.70,5.00
9.00,0.45,0.49,2.60,0.08,21.00,0.62,75.00,0.97,3.35,0.57,9.70,5.00
7.40,0.50,0.47,2.00,0.09,21.00,0.62,73.00,0.92,3.36,0.57,9.10,5.00
9.50,0.59,0.44,2.30,0.07,21.00,0.62,68.00,0.81,3.46,0.63,9.50,5.00
9.50,0.59,0.44,2.30,0.07,21.00,0.62,68.00,0.81,3.46,0.63,9.50,5.00
7.60,0.79,0.21,2.30,0.09,21.00,0.62,68.00,0.81,3.12,0.44,9.20,5.00
7.00,0.23,0.40,1.60,0.06,21.00,0.62,67.00,0.79,3.50,0.63,11.10,5.00
7.80,0.55,0.35,2.20,0.07,21.00,0.62,66.00,0.77,3.25,0.56,9.20,5.00
7.80,0.82,0.29,4.30,0.08,21.00,0.62,64.00,0.73,3.16,0.53,9.40,5.00
9.80,0.66,0.39,3.20,0.08,21.00,0.62,59.00,0.62,3.37,0.71,11.50,7.00
9.80,0.66,0.39,3.20,0.08,21.00,0.62,59.00,0.62,3.37,0.71,11.50,7.00
7.90,0.29,0.49,2.20,0.10,21.00,0.62,59.00,0.62,3.31,0.67,10.10,6.00
6.80,0.69,0.00,5.60,0.12,21.00,0.62,58.00,0.59,3.46,0.72,10.20,5.00
6.80,0.69,0.00,5.60,0.12,21.00,0.62,58.00,0.59,3.46,0.72,10.20,5.00
6.20,0.43,0.22,1.80,0.08,21.00,0.62,56.00,0.55,3.52,0.60,9.50,6.00
9.10,0.36,0.39,1.80,0.06,21.00,0.62,55.00,0.53,3.18,0.82,11.00,7.00
10.30,0.50,0.42,2.00,0.07,21.00,0.62,51.00,0.44,3.16,0.72,11.50,6.00
6.90,0.41,0.31,2.00,0.08,21.00,0.62,51.00,0.44,3.47,0.55,9.50,6.00
8.60,0.45,0.31,2.60,0.09,21.00,0.62,50.00,0.42,3.37,0.91,9.90,6.00
6.40,0.37,0.25,1.90,0.07,21.00,0.62,49.00,0.39,3.57,0.62,9.80,6.00
7.10,0.72,0.00,2.35,0.07,21.00,0.62,47.00,0.35,3.29,0.45,9.40,5.00
7.90,0.51,0.25,2.90,0.08,21.00,0.62,45.00,0.31,3.49,0.96,12.10,6.00
7.60,0.41,0.14,3.00,0.09,21.00,0.62,43.00,0.26,3.32,0.57,10.50,6.00
9.30,0.37,0.44,1.60,0.04,21.00,0.62,42.00,0.24,3.24,0.81,10.80,7.00
6.90,0.57,0.00,2.80,0.08,21.00,0.62,41.00,0.22,3.41,0.52,10.80,5.00
6.90,0.40,0.14,2.40,0.09,21.00,0.62,40.00,0.20,3.43,0.63,9.70,6.00
8.90,0.50,0.21,2.20,0.09,21.00,0.62,39.00,0.17,3.33,0.83,11.10,6.00
8.90,0.50,0.21,2.20,0.09,21.00,0.62,39.00,0.17,3.33,0.83,11.10,6.00
7.30,0.34,0.33,2.50,0.06,21.00,0.62,37.00,0.13,3.35,0.77,12.10,7.00
6.60,0.66,0.00,3.00,0.12,21.00,0.62,31.00,0.00,3.45,0.63,10.30,5.00
6.60,0.50,0.00,1.80,0.06,21.00,0.62,28.00,-0.07,3.44,0.55,12.30,6.00
8.60,0.49,0.28,1.90,0.11,20.00,0.52,136.00,2.32,2.93,1.95,9.90,6.00
8.60,0.49,0.28,1.90,0.11,20.00,0.52,136.00,2.32,2.93,1.95,9.90,6.00
7.70,0.69,0.49,1.80,0.12,20.00,0.52,112.00,1.79,3.21,0.71,9.30,5.00
7.00,0.60,0.30,4.50,0.07,20.00,0.52,110.00,1.74,3.30,1.17,10.20,5.00
7.00,0.60,0.30,4.50,0.07,20.00,0.52,110.00,1.74,3.30,1.17,10.20,5.00
10.00,0.35,0.45,2.50,0.09,20.00,0.52,88.00,1.26,3.15,0.43,9.40,5.00
7.10,0.59,0.01,2.50,0.08,20.00,0.52,85.00,1.19,3.55,0.59,9.80,5.00
7.60,0.69,0.23,2.30,0.11,20.00,0.52,84.00,1.17,3.21,0.61,9.30,5.00
7.10,0.76,0.15,1.80,0.11,20.00,0.52,84.00,1.17,3.19,0.50,9.50,5.00
10.60,0.34,0.49,3.20,0.08,20.00,0.52,78.00,1.04,3.19,0.70,10.00,6.00
7.00,0.36,0.21,2.30,0.09,20.00,0.52,65.00,0.75,3.40,0.54,10.10,6.00
6.70,0.86,0.07,2.00,0.10,20.00,0.52,57.00,0.57,3.60,0.74,11.70,6.00
7.30,0.91,0.10,1.80,0.07,20.00,0.52,56.00,0.55,3.35,0.56,9.20,5.00
7.10,0.35,0.29,2.50,0.10,20.00,0.52,53.00,0.48,3.42,0.65,11.00,6.00
9.70,0.55,0.17,2.90,0.09,20.00,0.52,53.00,0.48,3.14,0.61,9.40,5.00
8.70,0.52,0.09,2.50,0.09,20.00,0.52,49.00,0.39,3.34,0.86,10.60,7.00
8.70,0.52,0.09,2.50,0.09,20.00,0.52,49.00,0.39,3.34,0.86,10.60,7.00
10.80,0.26,0.45,3.30,0.06,20.00,0.52,49.00,0.39,3.13,0.54,9.60,5.00
7.30,0.98,0.05,2.10,0.06,20.00,0.52,49.00,0.39,3.31,0.55,9.70,3.00
9.20,0.59,0.24,3.30,0.10,20.00,0.52,47.00,0.35,3.26,0.67,9.60,5.00
11.30,0.37,0.50,1.80,0.09,20.00,0.52,47.00,0.35,3.15,0.57,10.50,5.00
7.50,0.53,0.06,2.60,0.09,20.00,0.52,44.00,0.28,3.38,0.59,10.70,6.00
7.70,0.26,0.30,1.70,0.06,20.00,0.52,38.00,0.15,3.29,0.47,10.80,6.00
7.90,0.72,0.17,2.60,0.10,20.00,0.52,38.00,0.15,3.40,0.53,9.50,5.00
10.80,0.45,0.33,2.50,0.10,20.00,0.52,38.00,0.15,3.24,0.71,10.80,5.00
10.80,0.45,0.33,2.50,0.10,20.00,0.52,38.00,0.15,3.24,0.71,10.80,5.00
7.80,0.70,0.06,1.90,0.08,20.00,0.52,35.00,0.09,3.40,0.69,10.90,5.00
5.40,0.58,0.08,1.90,0.06,20.00,0.52,31.00,0.00,3.50,0.64,10.20,6.00
8.80,0.27,0.46,2.10,0.10,20.00,0.52,29.00,-0.05,3.26,0.56,11.30,6.00
8.80,0.27,0.39,2.00,0.10,20.00,0.52,27.00,-0.09,3.15,0.69,11.20,6.00
8.60,0.49,0.29,2.00,0.11,19.00,0.41,133.00,2.25,2.93,1.98,9.80,5.00
5.20,0.48,0.04,1.60,0.05,19.00,0.41,106.00,1.65,3.54,0.62,12.20,7.00
9.00,0.46,0.31,2.80,0.09,19.00,0.41,98.00,1.48,3.32,0.63,9.50,6.00
7.40,0.79,0.19,5.20,0.09,19.00,0.41,98.00,1.48,3.16,0.52,9.57,6.00
7.40,0.79,0.19,5.20,0.09,19.00,0.41,98.00,1.48,3.16,0.52,9.60,6.00
7.70,0.26,0.26,2.00,0.05,19.00,0.41,77.00,1.01,3.15,0.79,10.90,6.00
8.80,0.30,0.38,2.30,0.06,19.00,0.41,72.00,0.90,3.39,0.72,11.80,6.00
8.80,0.30,0.38,2.30,0.06,19.00,0.41,72.00,0.90,3.39,0.72,11.80,6.00
7.60,0.43,0.29,2.10,0.08,19.00,0.41,66.00,0.77,3.40,0.64,9.50,5.00
7.60,0.43,0.29,2.10,0.08,19.00,0.41,66.00,0.77,3.40,0.64,9.50,5.00
12.20,0.48,0.54,2.60,0.09,19.00,0.41,64.00,0.73,3.10,0.61,10.50,6.00
8.00,0.52,0.25,2.00,0.08,19.00,0.41,59.00,0.62,3.30,0.48,10.20,5.00
8.20,0.59,0.00,2.50,0.09,19.00,0.41,58.00,0.59,3.50,0.65,9.30,6.00
10.00,0.56,0.24,2.20,0.08,19.00,0.41,58.00,0.59,3.18,0.56,10.10,6.00
10.00,0.56,0.24,2.20,0.08,19.00,0.41,58.00,0.59,3.18,0.56,10.10,6.00
8.60,0.64,0.68,1.80,0.40,19.00,0.41,56.00,0.55,3.02,1.15,9.30,5.00
8.80,0.40,0.40,2.20,0.08,19.00,0.41,52.00,0.46,3.44,0.64,9.20,5.00
5.00,0.42,0.24,2.00,0.06,19.00,0.41,50.00,0.42,3.72,0.74,14.00,8.00
11.20,0.40,0.50,2.00,0.10,19.00,0.41,50.00,0.42,3.10,0.58,10.40,5.00
6.90,0.50,0.04,1.50,0.09,19.00,0.41,49.00,0.39,3.35,0.78,9.50,5.00
7.40,0.25,0.29,2.20,0.05,19.00,0.41,49.00,0.39,3.40,0.76,10.90,7.00
6.40,0.67,0.08,2.10,0.05,19.00,0.41,48.00,0.37,3.49,0.49,11.40,6.00
11.50,0.45,0.50,3.00,0.08,19.00,0.41,47.00,0.35,3.26,1.11,11.00,6.00
12.40,0.42,0.49,4.60,0.07,19.00,0.41,43.00,0.26,3.02,0.61,9.50,5.00
6.20,0.36,0.24,2.20,0.10,19.00,0.41,42.00,0.24,3.57,0.57,11.70,6.00
6.20,0.36,0.24,2.20,0.10,19.00,0.41,42.00,0.24,3.57,0.57,11.70,6.00
12.60,0.41,0.54,2.80,0.10,19.00,0.41,41.00,0.22,3.21,0.76,11.30,6.00
7.70,0.60,0.06,2.00,0.08,19.00,0.41,41.00,0.22,3.39,0.62,10.10,6.00
6.90,0.55,0.15,2.20,0.08,19.00,0.41,40.00,0.20,3.41,0.59,10.10,5.00
6.60,0.58,0.02,2.40,0.07,19.00,0.41,40.00,0.20,3.38,0.66,12.60,6.00
9.00,0.69,0.00,2.40,0.09,19.00,0.41,38.00,0.15,3.35,0.60,9.30,5.00
9.30,0.33,0.45,1.50,0.06,19.00,0.41,37.00,0.13,3.18,0.89,11.10,7.00
6.40,0.36,0.53,2.20,0.23,19.00,0.41,35.00,0.09,3.37,0.93,12.40,6.00
6.70,1.04,0.08,2.30,0.07,19.00,0.41,32.00,0.02,3.52,0.57,11.00,4.00
10.80,0.29,0.42,1.60,0.08,19.00,0.41,27.00,-0.09,3.28,0.73,11.90,6.00
7.70,0.39,0.12,1.70,0.10,19.00,0.41,27.00,-0.09,3.16,0.49,9.40,5.00
7.70,0.39,0.12,1.70,0.10,19.00,0.41,27.00,-0.09,3.16,0.49,9.40,5.00
7.10,0.69,0.04,2.10,0.07,19.00,0.41,27.00,-0.09,3.44,0.67,9.80,5.00
5.60,0.61,0.05,2.40,0.07,19.00,0.41,25.00,-0.14,3.56,0.55,12.90,5.00
8.80,0.44,0.49,2.80,0.08,18.00,0.30,111.00,1.76,3.30,0.60,9.50,5.00
7.30,0.73,0.24,1.90,0.11,18.00,0.30,102.00,1.57,3.26,0.59,9.30,5.00
6.80,0.64,0.10,2.10,0.09,18.00,0.30,101.00,1.54,3.34,0.52,10.20,5.00
7.80,0.44,0.28,2.70,0.10,18.00,0.30,95.00,1.41,3.22,0.67,9.40,5.00
7.70,0.69,0.22,1.90,0.08,18.00,0.30,94.00,1.39,3.31,0.48,9.50,5.00
7.20,0.60,0.04,2.50,0.08,18.00,0.30,88.00,1.26,3.53,0.55,9.50,5.00
7.20,0.60,0.04,2.50,0.08,18.00,0.30,88.00,1.26,3.53,0.55,9.50,5.00
5.10,0.42,0.00,1.80,0.04,18.00,0.30,88.00,1.26,3.68,0.73,13.60,7.00
6.80,0.60,0.18,1.90,0.08,18.00,0.30,86.00,1.21,3.59,0.57,9.30,6.00
7.40,0.37,0.43,2.60,0.08,18.00,0.30,82.00,1.12,3.33,0.68,9.70,6.00
8.00,0.33,0.53,2.50,0.09,18.00,0.30,80.00,1.08,3.37,0.80,9.60,6.00
9.20,0.46,0.23,2.60,0.09,18.00,0.30,77.00,1.01,3.15,0.51,9.40,5.00
9.40,0.62,0.28,3.20,0.09,18.00,0.30,72.00,0.90,3.31,0.53,9.70,5.00
7.80,0.41,0.68,1.70,0.47,18.00,0.30,69.00,0.84,3.08,1.31,9.30,5.00
9.10,0.76,0.68,1.70,0.41,18.00,0.30,64.00,0.73,2.90,1.33,9.10,6.00
6.30,0.30,0.48,1.80,0.07,18.00,0.30,61.00,0.66,3.44,0.78,10.30,6.00
8.50,0.37,0.20,2.80,0.09,18.00,0.30,58.00,0.59,3.34,0.70,9.60,6.00
8.10,0.72,0.09,2.80,0.08,18.00,0.30,49.00,0.39,3.43,0.72,11.10,6.00
10.40,0.55,0.23,2.70,0.09,18.00,0.30,48.00,0.37,3.22,0.64,10.30,6.00
7.40,0.41,0.24,1.80,0.07,18.00,0.30,47.00,0.35,3.37,0.62,10.40,5.00
7.90,0.33,0.23,1.70,0.08,18.00,0.30,45.00,0.31,3.29,0.65,9.30,5.00
5.10,0.47,0.02,1.30,0.03,18.00,0.30,44.00,0.28,3.90,0.62,12.80,6.00
6.00,0.31,0.47,3.60,0.07,18.00,0.30,42.00,0.24,3.39,0.66,11.00,6.00
10.60,0.31,0.49,2.20,0.06,18.00,0.30,40.00,0.20,3.14,0.51,9.80,6.00
9.50,0.39,0.41,8.90,0.07,18.00,0.30,39.00,0.17,3.29,0.81,10.90,7.00
8.50,0.47,0.27,1.90,0.06,18.00,0.30,38.00,0.15,3.16,0.85,11.10,6.00
8.50,0.47,0.27,1.90,0.06,18.00,0.30,38.00,0.15,3.16,0.85,11.10,6.00
7.40,0.36,0.34,1.80,0.08,18.00,0.30,38.00,0.15,3.38,0.88,13.60,7.00
6.80,0.47,0.08,2.20,0.06,18.00,0.30,38.00,0.15,3.30,0.65,9.60,6.00
7.00,0.42,0.19,2.30,0.07,18.00,0.30,36.00,0.11,3.39,0.56,10.90,5.00
6.80,0.56,0.03,1.70,0.08,18.00,0.30,35.00,0.09,3.44,0.63,10.00,6.00
6.70,0.46,0.24,1.70,0.08,18.00,0.30,34.00,0.06,3.39,0.60,10.60,6.00
6.70,0.46,0.24,1.70,0.08,18.00,0.30,34.00,0.06,3.39,0.60,10.60,6.00
6.70,0.46,0.24,1.70,0.08,18.00,0.30,34.00,0.06,3.39,0.60,10.60,6.00
6.70,0.46,0.24,1.70,0.08,18.00,0.30,34.00,0.06,3.39,0.60,10.60,6.00
7.70,0.28,0.30,2.00,0.06,18.00,0.30,34.00,0.06,3.28,0.90,11.30,7.00
6.70,0.48,0.08,2.10,0.06,18.00,0.30,34.00,0.06,3.33,0.64,9.70,5.00
7.90,0.19,0.42,1.60,0.06,18.00,0.30,30.00,-0.03,3.29,0.69,11.20,6.00
6.10,0.48,0.09,1.70,0.08,18.00,0.30,30.00,-0.03,3.45,0.54,11.20,6.00
6.90,0.63,0.02,1.90,0.08,18.00,0.30,30.00,-0.03,3.40,0.75,9.80,5.00
6.90,0.63,0.02,1.90,0.08,18.00,0.30,30.00,-0.03,3.40,0.75,9.80,5.00
7.50,0.64,0.00,2.40,0.08,18.00,0.30,29.00,-0.05,3.32,0.60,10.00,6.00
7.30,0.74,0.00,2.20,0.08,18.00,0.30,28.00,-0.07,3.41,0.60,9.40,5.00
5.80,0.61,0.11,1.80,0.07,18.00,0.30,28.00,-0.07,3.55,0.66,10.90,6.00
7.10,0.67,0.00,2.30,0.08,18.00,0.30,27.00,-0.09,3.44,0.54,9.40,5.00
7.20,0.53,0.13,2.00,0.06,18.00,0.30,22.00,-0.20,3.21,0.68,9.90,6.00
7.90,0.49,0.32,1.90,0.08,17.00,0.19,144.00,2.49,3.20,0.55,9.50,5.00
8.00,0.57,0.23,3.20,0.07,17.00,0.19,119.00,1.94,3.26,0.57,9.30,5.00
8.80,0.47,0.49,2.90,0.09,17.00,0.19,110.00,1.74,3.29,0.60,9.80,5.00
7.80,0.56,0.19,2.00,0.08,17.00,0.19,108.00,1.70,3.32,0.54,9.50,5.00
4.70,0.60,0.17,2.30,0.06,17.00,0.19,106.00,1.65,3.85,0.60,12.90,6.00
7.30,0.59,0.26,2.00,0.08,17.00,0.19,104.00,1.61,3.28,0.52,9.90,5.00
7.50,0.50,0.36,6.10,0.07,17.00,0.19,102.00,1.57,3.35,0.80,10.50,5.00
